,year,id,wrkstat,evwork,occ,prestige,wrkslf,industry,found,occ10,occindv,occstatus,occtag,prestg10,prestg105plus,indus10,indstatus,indtag,marital,agewed,divorce,spwrksta,spevwork,spocc,sppres,spwrkslf,spind,spocc10,spoccindv,spoccstatus,spocctag,sppres10,sppres105plus,spind10,spindstatus,spindtag,paocc16,papres16,pawrkslf,paind16,paocc10,paoccindv,paoccstatus,paocctag,papres10,papres105plus,paind10,paindstatus,paindtag,maocc10,maoccindv,maoccstatus,maocctag,mapres10,mapres105plus,maind10,maindstatus,maindtag,sibs,childs,age,educ,paeduc,maeduc,speduc,degree,padeg,madeg,spdeg,sex,race,res16,reg16,mobile16,family16,incom16,hompop,babies,preteen,teens,adults,unrelat,earnrs,income72,region,xnorcsiz,srcbelt,size,dotdata,dotpeop,dotthng,dotged,dotsvp,dotpres,spdotdat,spdotpeo,spdotthn,spdotged,spdotsvp,spdotpre,padotdat,padotpeo,padotthn,padotged,padotsvp,padotpre,partyid,vote68,pres68,if68who,spkath,colath,libath,spksoc,colsoc,libsoc,spkcom,colcom,libcom,cappun2,gunlaw,courts,relig,denom,other,fund,attend,racmar,racdin,racpush,racseg,raclive,racclos,racdis,racinteg,racobjct,racschol,racfew,rachaf,racmost,busing,racpres,racjob,happy,health,helpful,fair,trust,satjob,class,satfin,finalter,finrela,wksub,wksubs,wksup,wksups,fework,fepres,abdefect,abnomore,abhlth,abpoor,abrape,absingle,chldidel,chldmore,chldnum,chldsoon,premarsx,news,coop2,comprend,povline,incdef,realinc,coninc,ethnic,ethnum,workdy,workhr,spdays,sphour,isco68,paisco68,spisco68,sei10,sei10educ,sei10inc,pasei10,pasei10educ,pasei10inc,masei10,masei10educ,masei10inc,spsei10,spsei10educ,spsei10inc,cohort,marcohrt,formwt,sample,oversamp,wtss,wtssnr,wtssall,fileversion
0,1972,1,1,,205.0,50.0,2.0,609.0,1,520.0,1.0,3,1,45.0,49.0,5170.0,3,1,5,,,,,,,,,,0.0,1,1,,,,1,1,282.0,40.0,2.0,587.0,4850.0,1.0,3,1,45.0,55.0,4290.0,3,1,,0.0,1,1,,,,1,1,3.0,0.0,23.0,16.0,10.0,,,3.0,0.0,,,2,1,5.0,2,3.0,4,3.0,1,0,0,0,1,,1.0,4.0,3,3,3,72,1.2,5.09,7.93,4.43,6.61,50.7,,,,,,,2.84,5.14,7.96,3.81,4.97,43.4,2.0,3.0,,,1.0,4.0,2.0,1.0,4.0,2.0,1.0,5.0,2.0,,1.0,3.0,3.0,,,3.0,2.0,2.0,3.0,3.0,4.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,4.0,1.0,2.0,1.0,3.0,5.0,18951.0,25926.0,,3.0,2.0,1.0,,,4220.0,4510.0,,50.0,64.6,47.6,62.0,73.0,68.1,,,,,,,1949.0,,,1,1.0,,,0.4446,7222.1
1,1972,2,5,1.0,441.0,45.0,2.0,338.0,1,7700.0,1.0,3,1,50.0,62.0,6470.0,3,1,1,21.0,2.0,7.0,2.0,,,,,,0.0,1,1,,,,1,1,245.0,50.0,1.0,339.0,430.0,1.0,3,1,39.0,42.0,1990.0,3,1,,0.0,1,1,,,,1,1,4.0,5.0,70.0,10.0,8.0,8.0,12.0,0.0,0.0,0.0,1.0,1,1,6.0,3,2.0,8,4.0,2,0,0,0,2,0.0,0.0,5.0,3,3,3,72,1.3,3.77,4.5,4.14,7.12,45.2,,,,,,,1.97,5.59,7.18,4.37,6.61,48.3,1.0,2.0,,2.0,1.0,5.0,1.0,1.0,4.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,2.0,,,2.0,7.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,,3.0,2.0,3.0,4.0,,,,,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,,,1.0,1.0,1.0,1.0,3.0,6.0,24366.0,33333.0,14.0,1.0,,,,,7000.0,2190.0,,46.5,42.0,59.9,67.7,76.9,76.8,,,,,,,1902.0,1923.0,,1,1.0,,,0.8893,7222.1
2,1972,3,2,,270.0,44.0,2.0,718.0,0,4920.0,,6,2,49.0,69.0,7070.0,6,2,1,20.0,2.0,1.0,,216.0,38.0,2.0,718.0,410.0,,6,2,41.0,44.0,7070.0,6,2,703.0,32.0,2.0,408.0,9120.0,,6,2,35.0,27.0,6180.0,6,2,,,4,2,,,,4,2,5.0,4.0,48.0,12.0,8.0,8.0,11.0,1.0,0.0,0.0,,2,1,6.0,3,2.0,1,3.0,4,0,1,1,2,0.0,2.0,5.0,3,3,3,72,2.99,5.02,8.0,3.95,5.82,47.8,1.44,5.43,7.51,3.82,6.39,41.5,4.01,6.03,3.03,3.01,4.98,30.2,3.0,2.0,,2.0,1.0,5.0,2.0,1.0,4.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,28.0,,2.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,3.0,2.0,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,,,1.0,1.0,1.0,1.0,3.0,5.0,24366.0,33333.0,15.0,1.0,,,4.0,4.0,4411.0,9851.0,2190.0,56.9,78.0,49.6,31.6,36.0,28.2,,,,54.6,68.6,54.9,1924.0,1944.0,,1,1.0,,,0.8893,7222.1
3,1972,4,1,,1.0,57.0,2.0,319.0,1,800.0,1.0,3,1,60.0,85.0,5170.0,3,1,1,24.0,2.0,1.0,,1.0,57.0,2.0,937.0,930.0,1.0,3,1,39.0,46.0,9380.0,3,1,202.0,72.0,2.0,867.0,120.0,1.0,3,1,53.0,65.0,7860.0,3,1,,0.0,1,1,,,,1,1,5.0,0.0,27.0,17.0,16.0,12.0,20.0,3.0,3.0,1.0,4.0,2,1,6.0,0,3.0,1,3.0,2,0,0,0,2,0.0,2.0,6.0,3,3,3,72,1.42,7.69,7.98,4.76,7.29,60.6,1.42,7.69,7.98,4.76,7.29,60.6,1.29,3.33,7.99,5.06,7.81,60.1,1.0,2.0,,,1.0,5.0,2.0,1.0,5.0,2.0,1.0,4.0,1.0,1.0,1.0,3.0,5.0,,,,0.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0,3.0,6.0,30458.0,41667.0,37.0,1.0,1.0,1.0,1.0,1.0,1100.0,2114.0,1100.0,76.3,93.7,72.3,69.3,82.8,74.0,,,,60.3,75.6,61.1,1945.0,1969.0,,1,1.0,,,0.8893,7222.1
4,1972,5,7,1.0,385.0,40.0,2.0,448.0,1,5020.0,1.0,3,1,31.0,21.0,6680.0,3,1,1,22.0,2.0,3.0,,533.0,36.0,2.0,158.0,7940.0,1.0,3,1,38.0,40.0,2690.0,3,1,461.0,48.0,2.0,168.0,8030.0,1.0,3,1,40.0,37.0,3190.0,3,1,,0.0,1,1,,,,1,1,2.0,2.0,61.0,12.0,8.0,8.0,12.0,1.0,0.0,0.0,1.0,2,1,3.0,3,2.0,1,2.0,2,0,0,0,2,0.0,1.0,9.0,3,3,3,72,6.37,5.88,2.72,3.1,3.31,35.7,7.0,8.0,4.3,2.38,3.91,30.3,2.22,7.97,0.21,3.95,6.97,41.5,0.0,1.0,1.0,,1.0,4.0,2.0,1.0,4.0,2.0,1.0,5.0,2.0,2.0,1.0,2.0,1.0,28.0,,2.0,0.0,2.0,3.0,2.0,3.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,,2.0,1.0,1.0,4.0,,,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,,,3.0,1.0,2.0,2.0,3.0,7.0,50763.0,69444.0,27.0,1.0,,,,,3800.0,8410.0,8351.0,31.9,50.7,18.8,38.3,33.9,46.9,,,,25.4,16.7,31.9,1911.0,1933.0,,1,1.0,,,0.8893,7222.1
5,1972,6,1,,281.0,49.0,2.0,209.0,1,4850.0,1.0,3,1,45.0,55.0,3390.0,3,1,5,,,,,,,,,,0.0,1,1,,,,1,1,14.0,62.0,2.0,67.0,1460.0,1.0,3,1,70.0,94.0,770.0,3,1,,0.0,1,1,,,,1,1,1.0,0.0,26.0,14.0,18.0,19.0,,1.0,3.0,4.0,,1,1,6.0,3,1.0,1,3.0,1,0,0,0,1,,1.0,8.0,3,3,3,72,2.62,5.13,7.89,3.84,5.05,47.1,,,,,,,0.3,7.67,1.42,5.64,7.79,67.1,2.0,1.0,2.0,,1.0,4.0,2.0,1.0,4.0,2.0,1.0,5.0,2.0,2.0,2.0,,1.0,50.0,,3.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,4.0,1.0,3.0,2.0,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,,,3.0,1.0,2.0,1.0,3.0,7.0,43994.0,60185.0,8.0,1.0,1.0,1.0,,,4510.0,240.0,,62.0,73.0,68.1,83.8,93.1,90.5,,,,,,,1946.0,,,1,1.0,,,0.4446,7222.1
6,1972,7,1,,522.0,41.0,2.0,69.0,0,6440.0,,6,2,43.0,50.0,770.0,6,2,3,22.0,,,,,,,,,,4,2,,,,4,2,265.0,47.0,2.0,717.0,4810.0,,6,2,47.0,61.0,6990.0,6,2,,,4,2,,,,4,2,7.0,2.0,28.0,13.0,16.0,12.0,,1.0,3.0,1.0,,1,1,5.0,3,1.0,1,4.0,1,0,0,0,1,,1.0,7.0,3,3,3,72,3.0,7.81,1.25,3.91,7.28,43.4,,,,,,,1.86,5.65,8.0,4.21,6.18,49.7,2.0,2.0,,,1.0,4.0,2.0,2.0,5.0,1.0,1.0,4.0,2.0,1.0,1.0,2.0,2.0,,,2.0,7.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,,2.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,4.0,1.0,3.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,4.0,4.0,,,4.0,1.0,1.0,1.0,3.0,7.0,37226.0,50926.0,14.0,1.0,1.0,1.0,,,8710.0,4410.0,,36.2,27.8,47.7,57.8,75.9,54.7,,,,,,,1944.0,1966.0,,1,1.0,,,0.4446,7222.1
7,1972,8,1,,314.0,36.0,2.0,587.0,1,5350.0,1.0,3,1,33.0,21.0,4080.0,3,1,5,,,,,,,,,,0.0,1,1,,,,1,1,231.0,50.0,2.0,687.0,4700.0,1.0,3,1,38.0,39.0,5190.0,3,1,,0.0,1,1,,,,1,1,1.0,0.0,27.0,16.0,16.0,14.0,,3.0,3.0,1.0,,1,1,3.0,2,3.0,1,3.0,1,0,0,0,1,,1.0,3.0,3,3,3,72,4.13,6.82,7.64,3.09,3.84,33.0,,,,,,,1.2,3.68,7.93,4.26,6.95,48.0,2.0,2.0,,1.0,1.0,4.0,2.0,1.0,4.0,2.0,1.0,5.0,2.0,2.0,1.0,,3.0,,,3.0,0.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,3.0,2.0,3.0,1.0,3.0,1.0,3.0,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,,,3.0,1.0,1.0,1.0,3.0,5.0,13537.0,18519.0,,3.0,1.0,1.0,,,3315.0,4210.0,,32.0,46.6,21.5,43.0,55.4,39.1,,,,,,,1945.0,,,1,1.0,,,0.4446,7222.1
8,1972,9,2,,912.0,26.0,2.0,669.0,0,4020.0,,6,2,33.0,24.0,,7,3,5,,,,,,,,,,,4,2,,,,4,2,623.0,22.0,2.0,648.0,9360.0,,6,2,24.0,17.0,5090.0,6,2,,,4,2,,,,4,2,2.0,2.0,21.0,12.0,12.0,12.0,,1.0,1.0,1.0,,2,2,4.0,7,1.0,8,3.0,3,2,0,0,1,0.0,1.0,1.0,7,2,5,127,3.28,7.68,1.64,3.6,6.4,30.2,,,,,,,6.8,6.28,6.63,2.92,3.15,18.3,0.0,2.0,,1.0,1.0,5.0,2.0,2.0,4.0,2.0,2.0,5.0,1.0,,1.0,2.0,1.0,18.0,,1.0,3.0,,,,,,,,,,1.0,,,,1.0,,,2.0,1.0,,1.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,3.0,2.0,,1.0,1.0,1.0,2.0,1.0,2.0,,2.0,2.0,2.0,,,4.0,4.0,2.0,1.0,1.0,3.0,2707.0,3704.0,,4.0,,,,,5520.0,8494.0,,13.6,22.3,4.1,21.0,28.3,11.8,,,,,,,1951.0,,,1,1.0,,,0.4446,7222.1
9,1972,10,1,,984.0,18.0,2.0,769.0,1,4230.0,1.0,3,1,25.0,14.0,9290.0,3,1,1,19.0,2.0,1.0,,690.0,32.0,2.0,379.0,8940.0,1.0,3,1,25.0,14.0,2380.0,3,1,715.0,32.0,1.0,417.0,9130.0,1.0,3,1,35.0,29.0,6170.0,3,1,,0.0,1,1,,,,1,1,7.0,4.0,30.0,12.0,10.0,7.0,11.0,1.0,0.0,0.0,1.0,2,2,3.0,7,1.0,1,1.0,7,2,2,1,2,0.0,2.0,4.0,7,2,5,127,6.96,7.21,7.77,2.77,2.76,11.4,6.84,8.0,4.18,2.34,3.43,29.9,6.87,7.95,3.13,2.94,3.33,29.1,0.0,1.0,1.0,,2.0,5.0,1.0,2.0,5.0,1.0,2.0,4.0,1.0,2.0,1.0,2.0,1.0,60.0,68.0,1.0,8.0,,,,,,,,,,1.0,,,,2.0,,,2.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,1.0,3.0,2.0,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,4.0,2.0,,,1.0,1.0,2.0,1.0,5.0,4.0,18951.0,25926.0,,4.0,1.0,1.0,1.0,1.0,5400.0,9852.0,8340.0,12.6,17.3,4.5,32.0,25.4,39.4,,,,36.4,26.2,50.4,1942.0,1961.0,,1,1.0,,,0.8893,7222.1
