,year,id,wrkstat,hrs1,hrs2,evwork,occ,prestige,wrkslf,industry,found,occ10,occindv,occstatus,occtag,prestg10,prestg105plus,indus10,indstatus,indtag,marital,agewed,divorce,spwrksta,sphrs1,sphrs2,spevwork,spocc,sppres,spwrkslf,spind,spocc10,spoccindv,spoccstatus,spocctag,sppres10,sppres105plus,spind10,spindstatus,spindtag,paocc16,papres16,pawrkslf,paind16,paocc10,paoccindv,paoccstatus,paocctag,papres10,papres105plus,paind10,paindstatus,paindtag,maocc10,maoccindv,maoccstatus,maocctag,mapres10,mapres105plus,maind10,maindstatus,maindtag,sibs,childs,age,educ,paeduc,maeduc,speduc,degree,padeg,madeg,spdeg,sex,race,res16,reg16,mobile16,family16,famdif16,mawork,mawkbaby,mawk16,incom16,hompop,babies,preteen,teens,adults,unrelat,earnrs,income,region,xnorcsiz,srcbelt,size,dotdata,dotpeop,dotthng,dotged,dotsvp,dotpres,spdotdat,spdotpeo,spdotthn,spdotged,spdotsvp,spdotpre,padotdat,padotpeo,padotthn,padotged,padotsvp,padotpre,partyid,vote68,pres68,if68who,vote72,pres72,if72who,natspac,natenvir,natheal,natcity,natcrime,natdrug,nateduc,natrace,natarms,nataid,natfare,spkath,colath,libath,spksoc,colsoc,libsoc,spkcom,colcom,libcom,spkhomo,colhomo,libhomo,cappun2,gunlaw,courts,grass,relig,denom,other,fund,attend,postlife,relig16,denom16,oth16,fund16,sprel,spden,spother,spfund,sprel16,spden16,spoth16,spfund16,racmar,racdin,racpush,racopen,raclive,racclos,racdis,racinteg,rachome,happy,hapmar,health,life,helpful,fair,trust,satcity,sathobby,satfam,satfrnd,sathealt,conbus,conclerg,coneduc,confed,conlabor,conpress,conmedic,contv,conjudge,consci,conlegis,conarmy,manners,success,honest,clean,judgment,control,role,amicable,obeys,responsi,consider,interest,studious,aged,anomia1,anomia2,anomia3,anomia4,anomia5,anomia6,anomia7,anomia8,anomia9,satjob,richwork,jobinc,jobsec,jobhour,jobpromo,jobmeans,class,classy,satfin,finalter,finrela,wksub,wksubs,wksup,wksups,unemp,govaid,union,getahead,abdefect,abnomore,abhlth,abpoor,abrape,absingle,aborct,xmarsex,homosex,porninf,pornmorl,pornrape,pornout,pornlaw,xmovie,strike,civright,antiwar,prowar,school,hit,hitage,hitnum,gun,gunage,gunnum,hitok,hitmarch,hitdrunk,hitchild,hitbeatr,hitrobbr,polhitok,polabuse,polmurdr,polescap,polattak,fear,burglr,robbry,owngun,pistol,shotgun,rifle,ticket,arrest,phone,coop,comprend,form,povline,incdef,realinc,coninc,ethnic,ethnum,isco68,paisco68,spisco68,sei10,sei10educ,sei10inc,pasei10,pasei10educ,pasei10inc,masei10,masei10educ,masei10inc,spsei10,spsei10educ,spsei10inc,uswar,usintl,usun,commun,cohort,marcohrt,formwt,sampcode,sample,oversamp,wtss,wtssnr,wtssall,fileversion
0,1973,1,1,27.0,,,551.0,41.0,2.0,319.0,0,8350.0,,6,2,42.0,46.0,,7,3,1,29.0,2.0,7.0,,,1.0,663.0,25.0,2.0,319.0,8320.0,,6,2,32.0,22.0,,7,3,,,,,,,4,2,,,,4,2,,,4,2,,,,4,2,5.0,1.0,54.0,6.0,,,7.0,0.0,,,0.0,1,1,3.0,0,3.0,5.0,1.0,1.0,2.0,1.0,1.0,3.0,0,0,1,2,0.0,2.0,9.0,3,6,5,16,4.28,7.69,2.6,3.27,5.62,31.7,6.69,7.98,2.32,2.88,4.03,28.9,,,,,,,7.0,1.0,3.0,,1.0,2.0,,3.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,2.0,3.0,3.0,2.0,5.0,1.0,2.0,5.0,1.0,2.0,4.0,1.0,2.0,5.0,1.0,,2.0,2.0,2.0,1.0,60.0,45.0,1.0,8.0,1.0,1.0,38.0,,2.0,1.0,60.0,45.0,1.0,1.0,38.0,,2.0,2.0,3.0,1.0,1.0,2.0,,,,2.0,3.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,4.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,3.0,3.0,1.0,4.0,3.0,5.0,2.0,3.0,2.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,5.0,2.0,3.0,,2.0,1.0,3.0,3.0,1.0,3.0,2.0,,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2,2.0,2.0,2,2.0,1.0,1.0,2.0,1.0,2.0,,2.0,,,,,,1.0,1.0,2.0,1.0,1.0,2.0,2,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,2,3.0,6.0,32761.0,44643.0,11.0,1.0,7910.0,,7950.0,26.5,37.0,16.8,,,,,,,13.2,16.5,5.5,2.0,1.0,1.0,1.0,1919.0,1948.0,,134,2,1.0,,,0.9145,7222.1
1,1973,2,7,,,1.0,690.0,32.0,2.0,208.0,1,8000.0,1.0,3,1,28.0,19.0,3490.0,3,1,1,21.0,2.0,8.0,,,1.0,245.0,50.0,1.0,288.0,4710.0,1.0,3,1,48.0,58.0,4470.0,3,1,802.0,44.0,1.0,17.0,205.0,1.0,3,1,46.0,58.0,170.0,3,1,,0.0,1,1,,,,1,1,4.0,2.0,51.0,8.0,8.0,6.0,8.0,0.0,0.0,0.0,0.0,2,1,2.0,3,1.0,1.0,,2.0,,,2.0,5.0,0,1,0,4,0.0,3.0,7.0,3,6,5,16,6.1,8.0,4.14,2.57,3.58,31.2,1.97,5.59,7.18,4.37,6.61,48.3,1.54,6.49,5.11,3.98,6.83,39.1,1.0,1.0,2.0,,1.0,2.0,,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,5.0,2.0,1.0,4.0,1.0,2.0,4.0,2.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,1.0,38.0,,2.0,3.0,1.0,1.0,38.0,,2.0,1.0,38.0,,2.0,1.0,38.0,,2.0,1.0,3.0,3.0,1.0,2.0,,,,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,7.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,5.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,,2.0,4.0,5.0,1.0,3.0,2.0,,2.0,3.0,3.0,,,,,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2,2.0,2.0,2,2.0,2.0,,,2.0,,,,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2,2.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,1,3.0,5.0,19657.0,26786.0,7.0,1.0,8340.0,6000.0,2190.0,23.2,16.5,26.1,39.9,45.2,40.3,,,,57.5,65.6,64.7,,2.0,1.0,1.0,1922.0,1943.0,,134,2,1.0,,,1.829,7222.1
2,1973,3,1,40.0,,,602.0,27.0,2.0,358.0,1,8740.0,1.0,3,1,39.0,38.0,,2,1,1,17.0,2.0,1.0,40.0,,,510.0,30.0,2.0,69.0,6420.0,1.0,3,1,35.0,26.0,770.0,3,1,545.0,35.0,2.0,179.0,8610.0,1.0,3,1,47.0,53.0,3570.0,3,1,,0.0,1,1,,,,1,1,6.0,8.0,36.0,11.0,12.0,12.0,11.0,0.0,1.0,1.0,0.0,2,1,4.0,3,1.0,1.0,,1.0,2.0,1.0,3.0,10.0,1,4,3,2,0.0,2.0,9.0,3,6,5,16,6.65,8.0,4.59,2.42,3.24,30.3,6.59,7.87,1.46,3.02,6.72,31.3,5.64,7.8,2.39,3.75,6.27,42.4,4.0,2.0,,3.0,2.0,,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,5.0,2.0,1.0,5.0,2.0,1.0,5.0,2.0,1.0,4.0,2.0,1.0,2.0,2.0,1.0,1.0,38.0,,2.0,0.0,2.0,1.0,38.0,,2.0,1.0,38.0,,2.0,1.0,38.0,,2.0,2.0,2.0,2.0,1.0,2.0,,,,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,5.0,3.0,2.0,3.0,4.0,4.0,3.0,1.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,4.0,5.0,1.0,2.0,,2.0,2.0,3.0,3.0,1.0,3.0,2.0,,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2,2.0,2.0,2,2.0,2.0,,,2.0,,,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2,2.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,2,3.0,5.0,32761.0,44643.0,13.0,1.0,8493.0,9690.0,9310.0,38.1,42.3,38.5,50.0,45.5,64.8,,,,24.0,21.6,22.4,1.0,1.0,1.0,2.0,1937.0,1954.0,,134,2,1.0,,,0.9145,7222.1
3,1973,4,1,40.0,,,381.0,23.0,2.0,178.0,1,5620.0,1.0,3,1,25.0,12.0,4270.0,3,1,1,27.0,2.0,1.0,37.0,,,694.0,32.0,2.0,339.0,8256.0,1.0,3,1,29.0,19.0,6480.0,3,1,802.0,44.0,1.0,17.0,205.0,1.0,3,1,46.0,58.0,180.0,3,1,,0.0,1,1,,,,1,1,0.0,2.0,32.0,12.0,8.0,12.0,12.0,1.0,0.0,1.0,1.0,1,1,2.0,3,2.0,1.0,,2.0,,,3.0,5.0,2,1,0,2,0.0,2.0,9.0,3,6,5,16,3.58,7.71,7.13,3.0,4.4,33.6,6.44,7.98,4.64,2.41,3.87,31.0,1.54,6.49,5.11,3.98,6.83,39.1,1.0,2.0,,3.0,2.0,,1.0,3.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,1.0,3.0,3.0,1.0,5.0,2.0,1.0,5.0,2.0,2.0,4.0,1.0,1.0,5.0,2.0,1.0,2.0,2.0,2.0,1.0,38.0,,2.0,0.0,,4.0,,,3.0,1.0,38.0,,2.0,1.0,38.0,,2.0,1.0,,1.0,1.0,2.0,,,,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,7.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,1.0,3.0,3.0,4.0,5.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,4.0,5.0,,2.0,3.0,3.0,3.0,1.0,3.0,2.0,,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1,2.0,2.0,2,2.0,1.0,3.0,3.0,2.0,,,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,2,3.0,6.0,32761.0,44643.0,,4.0,3910.0,6000.0,8340.0,23.8,33.7,13.8,39.9,45.2,40.3,,,,23.3,25.7,17.7,1.0,,1.0,1.0,1941.0,1968.0,,134,2,1.0,,,0.9145,7222.1
4,1973,5,7,,,2.0,,,,,1,,0.0,1,1,,,,1,1,1,18.0,2.0,1.0,51.0,,,473.0,37.0,2.0,179.0,7200.0,1.0,3,1,45.0,50.0,3570.0,3,1,802.0,44.0,1.0,17.0,9130.0,1.0,3,1,35.0,29.0,6170.0,3,1,,0.0,1,1,,,,1,1,6.0,4.0,54.0,8.0,6.0,8.0,9.0,0.0,0.0,0.0,0.0,2,1,1.0,3,1.0,1.0,,2.0,,,3.0,3.0,0,1,0,2,0.0,1.0,9.0,3,6,5,16,,,,,,,2.35,7.86,1.41,3.79,6.66,36.6,1.54,6.49,5.11,3.98,6.83,39.1,4.0,1.0,2.0,,1.0,2.0,,3.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,5.0,1.0,2.0,5.0,1.0,2.0,4.0,1.0,1.0,5.0,1.0,1.0,1.0,3.0,2.0,1.0,38.0,,2.0,7.0,2.0,1.0,38.0,,2.0,1.0,38.0,,2.0,1.0,38.0,,2.0,2.0,3.0,2.0,1.0,1.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,1.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,5.0,4.0,3.0,2.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,,3.0,4.0,5.0,2.0,1.0,,3.0,1.0,1.0,3.0,1.0,3.0,2.0,,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2,2.0,2.0,2,2.0,2.0,,,2.0,,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2,2.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,2,3.0,6.0,32761.0,44643.0,11.0,1.0,,6000.0,8430.0,,,,32.0,25.4,39.4,,,,31.2,29.5,33.0,1.0,2.0,1.0,1.0,1919.0,1937.0,,134,2,1.0,,,0.9145,7222.1
5,1973,6,1,52.0,,,441.0,45.0,2.0,917.0,1,5000.0,1.0,3,1,46.0,54.0,9590.0,3,1,3,23.0,,,,,,,,,,,0.0,1,1,,,,1,1,430.0,49.0,1.0,607.0,6355.0,1.0,3,1,49.0,54.0,770.0,3,1,,0.0,1,1,,,,1,1,1.0,3.0,41.0,12.0,6.0,6.0,,1.0,0.0,0.0,,2,1,6.0,2,1.0,1.0,,1.0,1.0,2.0,3.0,6.0,0,1,2,3,0.0,2.0,9.0,2,1,1,1949,1.17,3.96,5.58,4.15,7.14,44.6,,,,,,,2.12,7.77,1.25,3.96,6.95,43.8,1.0,1.0,1.0,,1.0,1.0,,2.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,1.0,5.0,2.0,1.0,5.0,2.0,1.0,4.0,1.0,1.0,5.0,2.0,1.0,1.0,2.0,2.0,2.0,,,2.0,7.0,1.0,2.0,,,2.0,,,,,,,,,1.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,5.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,2.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,5.0,2.0,3.0,4.0,,2.0,3.0,3.0,3.0,1.0,3.0,1.0,4.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2,2.0,2.0,2,2.0,2.0,,,2.0,,,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,2,3.0,6.0,32761.0,44643.0,15.0,1.0,7000.0,8550.0,,52.0,65.3,51.8,45.4,43.9,55.3,,,,,,,1.0,2.0,1.0,1.0,1932.0,1955.0,,113,2,1.0,,,1.3717,7222.1
6,1973,7,7,,,1.0,305.0,48.0,2.0,527.0,1,5120.0,1.0,3,1,45.0,48.0,4470.0,3,1,1,20.0,2.0,1.0,60.0,,,935.0,38.0,1.0,788.0,4500.0,1.0,3,1,36.0,29.0,8970.0,3,1,751.0,17.0,2.0,68.0,6260.0,1.0,3,1,28.0,23.0,590.0,3,1,,0.0,1,1,,,,1,1,9.0,3.0,31.0,8.0,2.0,8.0,6.0,0.0,0.0,0.0,0.0,2,1,1.0,2,1.0,1.0,,1.0,1.0,1.0,3.0,5.0,1,2,0,2,0.0,1.0,4.0,2,1,1,1949,3.12,7.91,7.96,3.98,5.01,45.9,2.9,6.93,1.64,3.09,5.14,27.9,6.89,7.98,5.3,2.25,3.32,20.5,2.0,2.0,,2.0,1.0,2.0,,3.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,4.0,2.0,1.0,4.0,2.0,1.0,4.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,2.0,2.0,,,2.0,8.0,1.0,2.0,,,2.0,2.0,,,2.0,2.0,,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,1.0,1.0,,1.0,1.0,2.0,3.0,1.0,2.0,3.0,3.0,5.0,3.0,3.0,3.0,4.0,3.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,,3.0,1.0,4.0,5.0,2.0,3.0,,2.0,3.0,3.0,2.0,,2.0,,2.0,2.0,4.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2,2.0,2.0,2,2.0,2.0,,,2.0,,,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,1,5.0,4.0,11794.0,16071.0,15.0,1.0,3310.0,9595.0,5700.0,38.3,56.1,27.9,25.2,20.4,26.6,,,,21.5,31.2,11.3,2.0,1.0,1.0,1.0,1942.0,1962.0,,113,2,1.0,,,0.9145,7222.1
7,1973,8,1,35.0,,,202.0,72.0,2.0,707.0,1,840.0,1.0,3,1,58.0,83.0,6880.0,3,1,5,,,,,,,,,,,,0.0,1,1,,,,1,1,,,,,,0.0,1,1,,,,1,1,,0.0,1,1,,,,1,1,0.0,0.0,26.0,16.0,,3.0,,3.0,,0.0,,1,1,6.0,2,1.0,5.0,2.0,1.0,2.0,2.0,1.0,2.0,0,0,0,2,0.0,1.0,7.0,2,1,1,1949,1.29,3.33,7.99,5.06,7.81,60.1,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,1.0,,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,4.0,2.0,1.0,4.0,2.0,1.0,4.0,2.0,1.0,4.0,2.0,2.0,1.0,2.0,1.0,4.0,,,3.0,0.0,2.0,2.0,,,2.0,,,,,,,,,2.0,3.0,2.0,2.0,2.0,,,,1.0,2.0,,2.0,2.0,2.0,1.0,2.0,7.0,5.0,2.0,3.0,1.0,3.0,3.0,2.0,3.0,3.0,1.0,3.0,2.0,1.0,2.0,2.0,3.0,4.0,4.0,2.0,3.0,2.0,3.0,5.0,3.0,3.0,3.0,1.0,3.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,5.0,4.0,2.0,1.0,2.0,,3.0,3.0,3.0,1.0,3.0,2.0,,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2,2.0,1.0,2,2.0,2.0,,,2.0,,,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0,1.0,1,3.0,5.0,19657.0,26786.0,15.0,1.0,2114.0,,,81.9,94.4,84.7,,,,,,,,,,1.0,2.0,1.0,3.0,1947.0,,,113,2,1.0,,,0.9145,7222.1
8,1973,9,7,,,1.0,231.0,50.0,2.0,337.0,1,7700.0,1.0,3,1,50.0,62.0,1880.0,3,1,2,20.0,2.0,,,,,,,,,,0.0,1,1,,,,1,1,245.0,50.0,1.0,628.0,4700.0,1.0,3,1,38.0,39.0,4970.0,3,1,,0.0,1,1,,,,1,1,9.0,2.0,78.0,7.0,3.0,3.0,,0.0,0.0,0.0,,2,1,6.0,2,1.0,1.0,,1.0,2.0,1.0,3.0,1.0,0,0,0,1,,0.0,2.0,2,1,1,1949,1.2,3.68,7.93,4.26,6.95,48.0,,,,,,,1.97,5.59,7.18,4.37,6.61,48.3,1.0,1.0,1.0,,1.0,1.0,,2.0,2.0,1.0,,1.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,4.0,2.0,1.0,4.0,2.0,1.0,5.0,2.0,2.0,5.0,2.0,2.0,1.0,2.0,2.0,2.0,,,2.0,7.0,1.0,2.0,,,2.0,,,,,,,,,1.0,3.0,1.0,1.0,2.0,,,,2.0,2.0,,4.0,3.0,1.0,2.0,1.0,1.0,7.0,1.0,1.0,7.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,1.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,4.0,2.0,2.0,1.0,1.0,2.0,2.0,,2.0,1.0,1.0,2.0,1.0,,2.0,3.0,4.0,5.0,1.0,,3.0,2.0,1.0,2.0,,,,,2.0,2.0,4.0,2.0,1.0,2.0,1.0,2.0,,2.0,1.0,1.0,1.0,2.0,1.0,1.0,,1.0,2.0,1,2.0,2.0,2,2.0,2.0,,,2.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2,2.0,2.0,2.0,2.0,2.0,2.0,,3.0,2.0,2.0,2,5.0,4.0,5242.0,7143.0,15.0,1.0,4210.0,2190.0,,46.5,42.0,59.9,43.0,55.4,39.1,,,,,,,2.0,2.0,2.0,,1895.0,1915.0,,113,2,1.0,,,0.4572,7222.1
9,1973,10,1,40.0,,,14.0,62.0,2.0,917.0,1,1460.0,1.0,3,1,70.0,94.0,9370.0,3,1,1,21.0,2.0,7.0,,,1.0,305.0,48.0,2.0,688.0,5700.0,1.0,3,1,47.0,55.0,5680.0,3,1,152.0,56.0,2.0,219.0,1540.0,1.0,3,1,47.0,64.0,3570.0,3,1,,0.0,1,1,,,,1,1,6.0,1.0,46.0,16.0,14.0,8.0,12.0,3.0,1.0,0.0,1.0,1,1,6.0,2,1.0,1.0,,2.0,,,3.0,3.0,0,0,0,3,0.0,1.0,10.0,2,1,1,1949,0.3,7.67,1.42,5.64,7.79,67.1,3.12,7.91,7.96,3.98,5.01,45.9,1.83,7.97,1.15,4.83,7.06,50.4,4.0,1.0,1.0,,1.0,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,4.0,2.0,1.0,4.0,2.0,1.0,5.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,2.0,2.0,,,2.0,7.0,1.0,2.0,,,2.0,2.0,,,2.0,2.0,,,2.0,2.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,4.0,2.0,2.0,2.0,4.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,1.0,3.0,5.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,5.0,1.0,2.0,3.0,,2.0,1.0,4.0,1.0,3.0,1.0,4.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1,2.0,2.0,2,2.0,2.0,,,2.0,,,1.0,2.0,2.0,1.0,1.0,1.0,2.0,,,,,2.0,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,1,3.0,7.0,45866.0,62500.0,14.0,1.0,240.0,320.0,3310.0,83.8,93.1,90.5,62.7,79.5,62.4,,,,38.8,57.6,27.8,2.0,1.0,1.0,2.0,1927.0,1948.0,,113,2,1.0,,,1.3717,7222.1
