,year,id,wrkstat,hrs1,hrs2,evwork,occ,prestige,wrkslf,industry,found,occ10,occindv,occstatus,occtag,prestg10,prestg105plus,indus10,indstatus,indtag,marital,agewed,divorce,spwrksta,sphrs1,sphrs2,spevwork,spocc,sppres,spwrkslf,spind,spocc10,spoccindv,spoccstatus,spocctag,sppres10,sppres105plus,spind10,spindstatus,spindtag,paocc16,papres16,pawrkslf,paind16,paocc10,paoccindv,paoccstatus,paocctag,papres10,papres105plus,paind10,paindstatus,paindtag,maocc10,maoccindv,maoccstatus,maocctag,mapres10,mapres105plus,maind10,maindstatus,maindtag,sibs,childs,age,educ,paeduc,maeduc,speduc,degree,padeg,madeg,spdeg,sex,race,res16,reg16,mobile16,family16,famdif16,mawork,mawkbaby,mawk16,incom16,hompop,babies,preteen,teens,adults,unrelat,earnrs,income,rincome,region,xnorcsiz,srcbelt,size,dotdata,dotpeop,dotthng,dotged,dotsvp,dotpres,spdotdat,spdotpeo,spdotthn,spdotged,spdotsvp,spdotpre,padotdat,padotpeo,padotthn,padotged,padotsvp,padotpre,partyid,vote72,pres72,if72who,polviews,natspac,natenvir,natheal,natcity,natcrime,natdrug,nateduc,natrace,natarms,nataid,natfare,spkath,colath,libath,spksoc,colsoc,libsoc,spkcom,colcom,libcom,spkhomo,colhomo,libhomo,cappun,gunlaw,courts,courtsy,wirtap,relig,denom,other,fund,attend,reliten,relig16,denom16,oth16,fund16,sprel,spden,spother,spfund,sprel16,spden16,spoth16,spfund16,prayer,prayery,racmar,racdin,raclive,racclos,racdis,racinteg,rachome,racfew,rachaf,racmost,busing,racpres,happy,hapmar,health,life,satcity,sathobby,satfam,satfrnd,sathealt,conbus,conclerg,coneduc,confed,conlabor,conpress,conmedic,contv,conjudge,consci,conlegis,conarmy,socrel,socommun,socfrend,socbar,anomia1,anomia2,anomia3,anomia4,anomia5,anomia6,anomia7,anomia8,anomia9,satjob,richwork,jobinc,jobsec,jobhour,jobpromo,jobmeans,class,satfin,finalter,finrela,wksub,wksubs,wksup,wksups,unemp,govaid,getahead,fehome,fework,fepres,fepol,fepoly,abdefect,abnomore,abhlth,abpoor,abrape,absingle,chldidel,chldmore,chldnum,chldsoon,pill,teenpill,sexeduc,divlaw,premarsx,xmarsex,homosex,fear,burglr,robbry,owngun,pistol,shotgun,rifle,ticket,arrest,phone,coop,comprend,form,memfrat,memserv,memvet,mempolit,memunion,memsport,memyouth,memschl,memhobby,memgreek,memnat,memfarm,memlit,memprof,memchurh,memother,memnum,povline,incdef,realinc,realrinc,coninc,conrinc,ethnic,ethnum,vetyears,vetkind,worda,wordb,wordc,wordd,worde,wordf,wordg,wordh,wordi,wordj,wordsum,isco68,paisco68,spisco68,sei10,sei10educ,sei10inc,pasei10,pasei10educ,pasei10inc,masei10,masei10educ,masei10inc,spsei10,spsei10educ,spsei10inc,commun,russia,japan,england,canada,brazil,china,israel,egypt,cohort,marcohrt,formwt,sampcode,sample,oversamp,wtss,wtssnr,wtssall,fileversion
0,1974,1,6,,,1.0,762.0,17.0,2.0,628.0,1,5620.0,1.0,3,1,25.0,12.0,4970.0,3,1,1,20.0,2.0,2.0,8.0,,,925.0,36.0,2.0,838.0,3600.0,1.0,3,1,48.0,50.0,8190.0,3,1,45.0,69.0,2.0,147.0,1550.0,1.0,3,1,50.0,63.0,2670.0,3,1,,0.0,1,1,,,,1,1,3.0,0.0,21.0,14.0,12.0,12.0,12.0,1.0,1.0,1.0,1.0,1,1,5.0,6,1.0,1,,1.0,1.0,1.0,4.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,2.0,6,1,2,301,5.85,7.65,7.12,2.53,2.74,15.3,6.81,6.91,7.97,3.06,4.02,33.6,0.38,7.92,1.24,5.75,7.79,68.1,2.0,1.0,1.0,,4.0,3.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,3.0,3.0,3.0,1.0,4.0,2.0,1.0,4.0,2.0,1.0,5.0,2.0,1.0,4.0,2.0,1.0,1.0,,2.0,2.0,1.0,28.0,,2.0,7.0,1.0,1.0,28.0,,2.0,1.0,28.0,,2.0,1.0,18.0,,1.0,,3.0,2.0,3.0,2.0,,,,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,5,1.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,4.0,6.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,,,4.0,5.0,3.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,3.0,2.0,,2.0,2.0,1.0,,1.0,1.0,,2.0,,2.0,1.0,2.0,1.0,2.0,4.0,2.0,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,2,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,4.0,8636.0,4935.0,11820.0,6754.0,,3.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,9.0,9990.0,110.0,720.0,23.8,33.7,13.8,57.4,63.9,66.2,,,,24.2,40.8,11.3,2.0,5.0,2.0,3.0,1.0,4.0,7.0,2.0,4.0,1953.0,1973.0,,149,2,1.0,,,0.932,7222.1
1,1974,2,1,65.0,,,86.0,69.0,1.0,877.0,1,2040.0,1.0,3,1,66.0,86.0,9160.0,3,1,1,22.0,2.0,7.0,,,2.0,,,,,,0.0,1,1,,,,1,1,441.0,45.0,2.0,407.0,6200.0,1.0,3,1,49.0,63.0,6080.0,3,1,,0.0,1,1,,,,1,1,0.0,3.0,41.0,16.0,8.0,12.0,12.0,3.0,0.0,1.0,1.0,1,1,3.0,3,3.0,1,,1.0,2.0,1.0,3.0,5.0,0.0,0.0,3.0,2.0,0.0,2.0,10.0,10.0,6,1,2,301,1.05,0.06,7.97,5.97,7.96,59.6,,,,,,,1.35,4.28,6.09,3.89,6.86,42.8,0.0,1.0,3.0,,5.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,3.0,1.0,4.0,2.0,1.0,4.0,2.0,2.0,4.0,1.0,2.0,5.0,1.0,1.0,2.0,2.0,,2.0,1.0,60.0,36.0,1.0,8.0,1.0,1.0,18.0,,1.0,1.0,60.0,36.0,1.0,1.0,60.0,36.0,1.0,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,2.0,2.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,3,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,6.0,4.0,4.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,5.0,4.0,2.0,1.0,3.0,2.0,1.0,4.0,2.0,,1.0,4.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,,2.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,,,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,3.0,7.0,43178.0,43178.0,59102.0,59102.0,24.0,2.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,9.0,1410.0,7000.0,,62.6,89.4,45.2,46.0,35.1,64.9,,,,,,,1.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,1933.0,1955.0,,149,2,1.0,,,0.932,7222.1
2,1974,3,7,,,2.0,,,,,1,,0.0,1,1,,,,1,1,2,26.0,2.0,,,,,,,,,,0.0,1,1,,,,1,1,801.0,41.0,1.0,17.0,205.0,1.0,3,1,46.0,58.0,170.0,3,1,,0.0,1,1,,,,1,1,10.0,2.0,83.0,10.0,,,,0.0,,,,2,1,3.0,5,3.0,4,1.0,,,,3.0,1.0,0.0,0.0,0.0,1.0,,0.0,2.0,,6,1,2,301,,,,,,,,,,,,,1.68,7.97,1.51,3.84,6.62,30.9,0.0,2.0,,,6.0,3.0,,,3.0,2.0,2.0,2.0,3.0,,3.0,3.0,2.0,5.0,1.0,2.0,5.0,1.0,2.0,4.0,1.0,,,,1.0,,,2.0,2.0,1.0,28.0,,2.0,3.0,1.0,1.0,28.0,,2.0,,,,,,,,,,1.0,1.0,2.0,2.0,,,,2.0,,1.0,,2.0,,1.0,,2.0,2.0,1.0,5.0,2.0,1,2.0,,1.0,,3.0,,,,,,,,,4.0,6.0,7.0,7.0,,,,2.0,,,1.0,1.0,1.0,1.0,,2.0,3.0,4.0,1.0,5.0,2.0,1.0,3.0,3.0,,,,,2.0,2.0,1.0,1.0,,2.0,,1.0,1.0,2.0,1.0,,1.0,,2.0,4.0,,,,,,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,5.0,4.0,4935.0,,6754.0,,,4.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,9.0,,6110.0,,,,,39.9,45.2,40.3,,,,,,,1.0,9.0,4.0,3.0,2.0,,9.0,5.0,6.0,1891.0,1917.0,,149,2,1.0,,,0.466,7222.1
3,1974,4,7,,,2.0,,,,,1,,0.0,1,1,,,,1,1,2,17.0,2.0,,,,,,,,,,0.0,1,1,,,,1,1,,,2.0,147.0,7740.0,1.0,3,1,34.0,29.0,2670.0,3,1,,0.0,1,1,,,,1,1,4.0,2.0,69.0,10.0,,16.0,,0.0,,3.0,,2,1,6.0,6,1.0,1,,2.0,,,2.0,1.0,0.0,0.0,0.0,1.0,,0.0,2.0,,6,1,2,301,,,,,,,,,,,,,,,,,,,0.0,2.0,,2.0,6.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,,5.0,2.0,2.0,4.0,2.0,2.0,5.0,1.0,,1.0,2.0,,,1.0,28.0,,2.0,3.0,1.0,1.0,28.0,,2.0,,,,,,,,,1.0,,1.0,1.0,2.0,,,,2.0,2.0,1.0,,2.0,,2.0,,2.0,2.0,1.0,2.0,2.0,2,3.0,1.0,1.0,1.0,1.0,,3.0,1.0,1.0,,,,1.0,3.0,1.0,7.0,7.0,1.0,2.0,2.0,2.0,1.0,2.0,,2.0,1.0,1.0,,1.0,4.0,5.0,2.0,3.0,3.0,1.0,1.0,3.0,,,,,2.0,2.0,1.0,1.0,,2.0,1.0,,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,,,1.0,2.0,1.0,,,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,5.0,4.0,4935.0,,6754.0,,10.0,1.0,0.0,,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,5.0,,,,,,,33.9,29.5,40.0,,,,,,,1.0,,,2.0,2.0,2.0,,2.0,,1905.0,1922.0,,149,2,1.0,,,0.466,7222.1
4,1974,5,1,40.0,,,391.0,41.0,2.0,147.0,1,5820.0,1.0,3,1,37.0,29.0,2670.0,3,1,5,,,,,,,,,,,,0.0,1,1,,,,1,1,801.0,41.0,1.0,17.0,205.0,1.0,3,1,46.0,58.0,170.0,3,1,,0.0,1,1,,,,1,1,3.0,0.0,58.0,12.0,9.0,6.0,,1.0,0.0,0.0,,2,1,2.0,6,3.0,1,,2.0,,,3.0,1.0,0.0,0.0,0.0,1.0,,1.0,8.0,7.0,6,1,2,301,3.72,7.9,7.85,3.05,3.78,37.6,,,,,,,1.68,7.97,1.51,3.84,6.62,30.9,1.0,1.0,2.0,,6.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,5.0,1.0,2.0,5.0,1.0,1.0,4.0,1.0,2.0,5.0,1.0,1.0,1.0,2.0,,2.0,1.0,18.0,,1.0,5.0,1.0,1.0,18.0,,1.0,,,,,,,,,2.0,,1.0,1.0,2.0,,,,2.0,2.0,1.0,,2.0,2.0,2.0,,3.0,2.0,4.0,4.0,4.0,3,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,5.0,2.0,2.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,5.0,2.0,4.0,2.0,2.0,3.0,3.0,1.0,3.0,2.0,,2.0,2.0,1.0,2.0,1.0,2.0,1.0,,1.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,,,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0,1.0,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,3.0,6.0,22206.0,18505.0,30395.0,25329.0,8.0,1.0,0.0,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,8.0,3210.0,6110.0,,35.1,56.7,21.1,39.9,45.2,40.3,,,,,,,1.0,9.0,7.0,4.0,4.0,5.0,8.0,3.0,5.0,1916.0,,,149,2,1.0,,,0.466,7222.1
5,1974,6,6,,,1.0,202.0,72.0,2.0,707.0,1,910.0,1.0,3,1,45.0,60.0,6870.0,3,1,1,21.0,2.0,1.0,40.0,,,395.0,36.0,2.0,707.0,5110.0,1.0,3,1,40.0,38.0,6870.0,3,1,533.0,36.0,2.0,147.0,7940.0,1.0,3,1,38.0,40.0,2670.0,3,1,,0.0,1,1,,,,1,1,1.0,0.0,30.0,16.0,9.0,12.0,12.0,3.0,0.0,1.0,1.0,1,1,4.0,6,1.0,1,,1.0,2.0,1.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,9.0,8.0,6,3,4,3,1.29,3.33,7.99,5.06,7.81,60.1,3.55,7.6,7.94,3.59,3.91,41.0,7.0,8.0,4.3,2.38,3.91,30.3,4.0,1.0,2.0,,5.0,2.0,1.0,1.0,2.0,2.0,,1.0,2.0,2.0,2.0,2.0,1.0,4.0,2.0,1.0,4.0,2.0,1.0,5.0,2.0,1.0,4.0,2.0,1.0,2.0,2.0,,1.0,1.0,28.0,,2.0,3.0,2.0,1.0,28.0,,2.0,2.0,,,2.0,2.0,,,2.0,2.0,,2.0,3.0,2.0,,,,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,2,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,4.0,7.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,,,3.0,5.0,4.0,1.0,2.0,3.0,2.0,1.0,3.0,1.0,3.0,1.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,8.0,1.0,,,1.0,1.0,1.0,,4.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,6.0,30841.0,22206.0,42215.0,30395.0,11.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,8.0,2114.0,8351.0,3990.0,62.1,78.2,62.4,25.4,16.7,31.9,,,,33.4,55.8,18.5,3.0,2.0,0.0,1.0,0.0,4.0,3.0,3.0,3.0,1944.0,1965.0,,149,2,1.0,,,0.932,7222.1
6,1974,7,1,55.0,,,240.0,60.0,2.0,857.0,1,230.0,1.0,3,1,59.0,80.0,7860.0,3,1,1,24.0,2.0,7.0,,,1.0,360.0,41.0,2.0,69.0,5140.0,1.0,3,1,40.0,32.0,770.0,3,1,640.0,26.0,2.0,48.0,6840.0,1.0,3,1,40.0,42.0,380.0,3,1,,0.0,1,1,,,,1,1,9.0,2.0,48.0,17.0,5.0,3.0,14.0,4.0,0.0,0.0,1.0,1,1,2.0,6,2.0,1,,2.0,,,2.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,11.0,11.0,6,3,4,3,1.19,1.43,7.88,5.75,7.93,71.2,3.65,7.77,7.99,3.73,4.58,44.7,5.67,8.0,3.69,2.83,4.12,26.5,4.0,1.0,2.0,,5.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,1.0,4.0,2.0,1.0,4.0,2.0,1.0,4.0,1.0,1.0,4.0,1.0,2.0,1.0,,3.0,2.0,1.0,18.0,,1.0,4.0,2.0,1.0,60.0,35.0,1.0,1.0,18.0,,1.0,1.0,18.0,,1.0,,3.0,2.0,3.0,2.0,,,,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,1.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,1.0,2.0,4.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,5.0,3.0,4.0,1.0,3.0,1.0,1.0,4.0,1.0,3.0,1.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,4.0,,,1.0,1.0,1.0,1.0,,,,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,2,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,10.0,3.0,7.0,55515.0,55515.0,75988.0,75988.0,24.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,9.0,1391.0,7110.0,3390.0,75.5,92.0,74.2,42.2,22.9,68.5,,,,41.8,59.2,33.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,1926.0,1950.0,,149,2,1.0,,,0.932,7222.1
7,1974,8,5,,,1.0,430.0,49.0,2.0,147.0,1,6355.0,1.0,3,1,49.0,54.0,2870.0,3,1,1,25.0,2.0,7.0,,,1.0,395.0,36.0,2.0,798.0,5860.0,1.0,3,1,32.0,26.0,6990.0,3,1,545.0,35.0,2.0,469.0,8610.0,1.0,3,1,47.0,53.0,4490.0,3,1,,0.0,1,1,,,,1,1,3.0,1.0,67.0,10.0,6.0,8.0,12.0,0.0,0.0,0.0,1.0,1,1,3.0,6,1.0,1,,2.0,,,3.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,,6,3,4,3,2.12,7.77,1.25,3.96,6.95,43.8,4.1,7.49,7.52,3.3,3.43,35.6,5.64,7.8,2.39,3.75,6.27,42.4,0.0,1.0,2.0,,5.0,,1.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,3.0,2.0,2.0,5.0,1.0,2.0,4.0,2.0,2.0,4.0,1.0,2.0,5.0,2.0,1.0,1.0,2.0,,1.0,1.0,28.0,,2.0,8.0,1.0,1.0,28.0,,2.0,1.0,28.0,,2.0,1.0,28.0,,2.0,2.0,,1.0,3.0,2.0,,,,2.0,1.0,,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,3.0,7.0,7.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,,4.0,3.0,5.0,2.0,1.0,2.0,1.0,3.0,3.0,,,,,2.0,1.0,1.0,1.0,2.0,,1.0,,2.0,2.0,1.0,2.0,,2.0,2.0,4.0,,,2.0,,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,1.0,1.0,1,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,5.0,11103.0,,15198.0,,8.0,1.0,0.0,,0.0,1.0,,1.0,1.0,1.0,0.0,0.0,1.0,,5.0,8550.0,9690.0,3990.0,45.4,43.9,55.3,50.0,45.5,64.8,,,,35.8,56.1,22.8,1.0,9.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1907.0,1932.0,,149,2,1.0,,,0.932,7222.1
8,1974,9,7,,,1.0,283.0,29.0,2.0,657.0,1,4720.0,1.0,3,1,28.0,16.0,5170.0,3,1,1,19.0,2.0,1.0,40.0,,,245.0,50.0,1.0,648.0,4700.0,1.0,3,1,38.0,39.0,5090.0,3,1,801.0,41.0,2.0,467.0,3930.0,1.0,3,1,34.0,27.0,570.0,3,1,,0.0,1,1,,,,1,1,1.0,2.0,51.0,12.0,,,12.0,1.0,,,1.0,2,1,3.0,6,1.0,1,,2.0,,,3.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,,,6,3,4,3,3.95,5.88,7.85,3.14,3.59,30.7,2.95,6.15,7.22,3.68,5.62,38.6,1.68,7.97,1.51,3.84,6.62,30.9,5.0,1.0,2.0,,,,2.0,2.0,,,2.0,1.0,2.0,2.0,3.0,3.0,2.0,5.0,1.0,1.0,5.0,2.0,2.0,4.0,1.0,2.0,5.0,1.0,2.0,1.0,,3.0,2.0,1.0,18.0,,1.0,4.0,1.0,1.0,18.0,,1.0,1.0,28.0,,2.0,1.0,28.0,,2.0,,1.0,1.0,1.0,2.0,,,,2.0,1.0,,,2.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1,3.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,7.0,4.0,7.0,2.0,2.0,2.0,2.0,,2.0,2.0,1.0,1.0,1.0,,3.0,2.0,4.0,1.0,5.0,4.0,1.0,1.0,3.0,2.0,,1.0,4.0,2.0,2.0,1.0,1.0,1.0,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,,4.0,4.0,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,4.0,,,,,,,4.0,0.0,,,1.0,,0.0,1.0,0.0,,,1.0,0.0,3.0,4510.0,6110.0,2190.0,21.6,35.0,9.9,34.7,48.5,25.7,,,,43.0,55.4,39.1,1.0,5.0,5.0,0.0,0.0,2.0,9.0,,,1923.0,1942.0,,149,2,1.0,,,0.932,7222.1
9,1974,10,1,15.0,,,960.0,24.0,2.0,937.0,1,3940.0,1.0,3,1,38.0,25.0,9470.0,3,1,1,19.0,2.0,5.0,,,1.0,473.0,37.0,2.0,408.0,7210.0,1.0,3,1,42.0,43.0,6180.0,3,1,,,,,,1.0,1,1,,,,1,1,,0.0,1,1,,,,1,1,9.0,2.0,54.0,11.0,,,12.0,0.0,,0.0,1.0,2,1,1.0,6,2.0,7,1.0,,,,3.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0,2.0,6,3,4,3,6.29,6.29,7.43,2.23,2.54,15.0,2.35,7.86,1.41,3.79,6.66,36.6,,,,,,,0.0,2.0,,,6.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,1.0,4.0,1.0,1.0,4.0,2.0,1.0,5.0,2.0,1.0,4.0,2.0,1.0,2.0,2.0,,1.0,1.0,18.0,,1.0,4.0,2.0,1.0,18.0,,1.0,1.0,18.0,,1.0,1.0,18.0,,1.0,2.0,,2.0,3.0,2.0,,,,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2,2.0,,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,4.0,7.0,2.0,2.0,2.0,2.0,,2.0,1.0,1.0,2.0,1.0,1.0,2.0,4.0,3.0,5.0,1.0,2.0,3.0,3.0,2.0,1.0,3.0,2.0,,2.0,1.0,1.0,2.0,2.0,1.0,2.0,,1.0,2.0,1.0,,1.0,2.0,2.0,4.0,,,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,5.0,11103.0,4935.0,15198.0,6754.0,,4.0,0.0,,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,5.0,9891.0,,8430.0,27.0,29.1,23.1,,,,,,,35.3,29.7,43.6,1.0,9.0,6.0,5.0,0.0,,9.0,4.0,6.0,1920.0,1939.0,,149,2,1.0,,,0.932,7222.1
