"","id","description"
"1","caseid","YEAR + Respondent ID"
"2","year","GSS year for this respondent"
"3","id","Respondent ID number"
"4","age","Age of respondent"
"5","sex","Respondents sex"
"6","race","Race of respondent"
"7","racecen1","What Is R's race 1st mention"
"8","racecen2","What Is R's race 2nd mention"
"9","racecen3","What Is R's race 3rd mention"
"10","hispanic","Hispanic specified"
"11","racehisp","Race with Hispanic (2000 and later)"
"12","ethnic","Country of family origin"
"13","eth1","1st mentioned country of origin"
"14","eth2","2nd mentioned country of origin"
"15","eth3","3rd mentioned country of origin"
"16","ethnum","Type of response about ethnicity:R"
"17","spethnic","Country of spouse's family origin"
"18","speth1","1st mentioned country of spouse's origin"
"19","speth2","2nd mentioned country of spouse's origin"
"20","speth3","3rd mentioned country of spouse's origin"
"21","spethnum","Type of response about ethnicity:sp"
"22","racesee","Observed race"
"23","racedbtf","Certainty of observed race"
"24","raceself","R's own racial id"
"25","difrace1","Why observation disagrees self id"
"26","difrace2","Why observation disagrees self id"
"27","difrace3","Why observation disagrees self id"
"28","uscitzn","Is R US citizen"
"29","fucitzn","Is R planning/appling for US citizenship or not"
"30","educ","Highest year of school completed"
"31","paeduc","Highest year school completed, father"
"32","maeduc","Highest year school completed, mother"
"33","speduc","Highest year school completed, spouse"
"34","degree","R's highest degree"
"35","padeg","Father's highest degree"
"36","madeg","Mothers highest degree"
"37","spdeg","Spouse's highest degree"
"38","major1","College major 1"
"39","major2","College major 2"
"40","voedcol","Non-college postsecondary education (VOEDNME1)"
"41","dipged","Diploma, ged, or other"
"42","spdipged","Spouse diploma, ged, or other"
"43","whenhs","When received hs degree"
"44","whencol","When received college degree"
"45","hapcohab","Happiness of relt with partner"
"46","convictd","Convicted of crime ever"
"47","lockedup","Prison or jail ever"
"48","vetyears","Years in armed forces"
"49","vetkind","Branch of service"
"50","workdy","Days R normally works"
"51","workhr","Hours R usually works"
"52","spdays","Days spouse normally works"
"53","sphour","Hours spouse usually works"
"54","dwelling","Type of structure"
"55","dwelngh","Dwelling compared to others in nbrhd"
"56","dwelcity","Dwelling compared to others in city"
"57","dwelown","Does R own or rent home?"
"58","worda","Word a"
"59","wordb","Word b"
"60","wordc","Word c"
"61","wordd","Word d"
"62","worde","Word e"
"63","wordf","Word f"
"64","wordg","Word g"
"65","wordh","Word h"
"66","wordi","Word i"
"67","wordj","Word j"
"68","wordsum","Number words correct in vocabulary test"
"69","godoc","Last week went to see a doctor?"
"70","eatout","Last week had a meal at a restaurant"
"71","seefilm","Last week went to see a film?"
"72","attrelig","Last week attended religious services?"
"73","numdays","Number of days attended religious services"
"74","sunday","Attended religious services last sunday"
"75","monday","Attended religious services last monday"
"76","tuesday","Attended religious services last tuesday"
"77","wednesdy","Attended religious services last wednesday"
"78","thursday","Attended religious services last thursday"
"79","friday","Attended religious services last friday"
"80","saturday","Attended religious services last saturday"
"81","attreg","Last 7 days attend a worship service"
"82","mediarel","Watch a religious program on television-radio?"
"83","othrel","Attend some other type of religious event"
"84","othrel1","What type of religious events or meetings"
"85","othrel2","What type of religious events or meetings"
"86","othrel3","What type of religious events or meetings"
"87","attweek","Attend religious events during the last week"
"88","religid","R's religious identity"
"89","relid1","Protestant identification 1st mention"
"90","relid2","Protestant identification 2nd mention"
"91","relid3","Protestant identification 3rd mention"
"92","relidbst","Protestant identification best group"
"93","cathid","If catholic what identity"
"94","charisma","Is R associated with charismatic movement"
"95","relate1","Relationship of 1st person to household head"
"96","gender1","Gender of 1st person"
"97","old1","Age of 1st person"
"98","mar1","Marital status of 1st person"
"99","away1","Is 1st person staying somewhere else now?"
"100","where1","Where is 1st person staying?"
"101","relate2","Relationship of 2nd person to household head"
"102","gender2","Gender of 2nd person"
"103","old2","Age of 2nd person"
"104","mar2","Marital status of 2nd person"
"105","away2","Is 2nd person staying somewhere else now?"
"106","where2","Where is 2nd person staying?"
"107","relate3","Relationship of 3rd person to household head"
"108","gender3","Gender of 3rd person"
"109","old3","Age of 3rd person"
"110","mar3","Marital status of 3rd person"
