UnitID,Institution Name,Sector of institution (HD2022),Control of institution (HD2022),Degree-granting status (HD2022),Degree of urbanization (Urban-centric locale) (HD2022),Institutional category (HD2022),Institution size category (HD2022),Carnegie Classification 2021: Basic (HD2022),Carnegie Classification 2021: Undergraduate Instructional Program (HD2022),Carnegie Classification 2021: Graduate Instructional Program (HD2022),Carnegie Classification 2021: Undergraduate Profile (HD2022),Carnegie Classification 2021: Enrollment Profile (HD2022),Carnegie Classification 2021: Size and Setting (HD2022),Does institution have a tenure system (FLAGS2022),Total price for out-of-state students living on campus 2022-23 (DRVIC2022),Total price for in-state students living on campus 2022-23 (DRVIC2022),Total price for in-state students living off campus (not with family)  2022-23 (DRVIC2022),Total price for out-of-state students living off campus (not with family)  2022-23 (DRVIC2022),Number of students receiving a Doctor's degree (DRVC2022),Number of students receiving a Master's degree (DRVC2022),Number of students receiving a Bachelor's degree (DRVC2022),Number of students receiving an Associate's degree (DRVC2022),Published in-district tuition and fees 2022-23 (IC2022_AY),Total number of undergraduates - financial aid cohort (SFA2021),Percent of full-time first-time undergraduates awarded any financial aid (SFA2021),Percent admitted - total (DRVADM2021),Percent admitted - men (DRVADM2021),Percent admitted - women (DRVADM2021),Admissions yield - total (DRVADM2021),Admissions yield - men (DRVADM2021),Admissions yield - women (DRVADM2021),Graduation rate  total cohort (DRVGR2021),Graduation rate  men (DRVGR2021),Graduation rate  women (DRVGR2021),Core revenues  total dollars (GASB) (DRVF2021),Tuition and fees as a percent of core revenues (GASB) (DRVF2021),State appropriations as percent of core revenues  (GASB) (DRVF2021),Private gifts  grants  and contracts as a percent of core revenues (GASB) (DRVF2021),Government grants and contracts as a percent of core revenues (GASB) (DRVF2021),Local appropriations as a percent of core revenues (GASB) (DRVF2021),Investment return as a percent of core revenues (GASB) (DRVF2021),Other revenues as a percent of core revenues (GASB) (DRVF2021),Salaries and wages for core expenses as a percent of total core expenses (GASB) (DRVF2021),Salaries and wages for instruction as a percent of total expenses for instruction (GASB) (DRVF2021),Salaries and wages for research as a percent of total expenses for research (GASB) (DRVF2021),Salaries and wages for public service as a percent of total expenses for public service (GASB) (DRVF2021),Salaries and wages for academic support as a percent of total expenses for academic support (GASB) (DRVF2021),Salaries and wages for student services as a percent of total expenses for student services (GASB) (DRVF2021),Salaries and wages for institutional support as a percent of total expenses for institutional support (GASB) (DRVF2021),Salaries and wages for other core expense functions as a percent of total expenses for other core expense functions (GASB) (DRVF2021),Total salaries  wages  and benefits as a percent of total expenses (GASB) (DRVF2021),Total salaries and wages as a percent of total expenses (GASB) (DRVF2021),Total FTE staff (DRVHR2021),Instructional  research and public service FTE (DRVHR2021),Instructional FTE (DRVHR2021),Research FTE (DRVHR2021),Public Service FTE (DRVHR2021),Librarians  Curators  and Archivists/Student and Academic Affairs and Other Education Services FTE (DRVHR2021),Librarians  Curators  and Archivists FTE (DRVHR2021),Student and Academic Affairs and Other Education Services FTE (DRVHR2021),Management FTE (DRVHR2021),Business and Financial Operations FTE (DRVHR2021),Computer  Engineering  and Science FTE (DRVHR2021),Community Service  Legal  Arts  and Media FTE (DRVHR2021),Healthcare FTE (DRVHR2021),Service  sales  office/admin support  natural resources  construction  maintenance  production  transportation & materials moving FTE (DRVHR2021),Service FTE (DRVHR2021),Sales and Related FTE (DRVHR2021),Office and Administrative Support FTE (DRVHR2021),Natural Resources  Construction  and Maintenance FTE (DRVHR2021),Production  Transportation  and Material Moving FTE (DRVHR2021),Student-to-faculty ratio (EF2021D),
476735,Alexander Academy,9,3,2,22,6,1,-2,-2,-2,-2,-2,-2,-2,,,,,,,,0,,51,69,,,,,,,73,,,,,,,,,,,,,,,,,,,,,8,4,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,
164447,American International College,2,2,1,12,2,2,17,16,18,10,5,11,1,58750,58750,52010,52010,54,375,271,0,40550,1381,98,58,55,61,17,20,14,42,36,49,,,,,,,,,,,,,,,,,,,401,212,212,0,0,49,6,43,30,21,9,56,4,20,0,0,20,0,0,17,
164465,Amherst College,2,2,1,21,2,2,21,6,0,14,2,11,1,83650,83650,83650,83650,0,0,505,0,64100,1745,66,9,8,9,42,45,40,92,92,93,,,,,,,,,,,,,,,,,,,1003,272,272,0,0,56,22,34,96,66,71,80,12,350,191,0,117,36,6,7,
164492,Anna Maria College,2,2,1,41,2,2,19,19,8,11,4,11,1,62900,62900,52460,52460,0,246,267,0,41010,1126,100,73,70,76,10,13,7,48,34,58,,,,,,,,,,,,,,,,,,,201,94,94,0,0,8,1,7,33,6,3,20,5,32,2,0,29,0,1,13,
164535,Assabet Valley Regional Technical School,7,1,2,21,6,1,-2,-2,-2,-2,-2,-2,-2,,,,,,,,0,,46,58,95,100,94,90,80,94,70,,,746567,73,0,0,27,0,0,0,89,85,,,100,,,0,100,89,6,4,4,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,8,
164562,Assumption University,2,2,1,12,2,2,19,13,10,10,4,11,1,64870,64870,64870,64870,0,166,465,2,47508,2027,100,86,80,91,12,13,11,72,66,75,,,,,,,,,,,,,,,,,,,369,183,183,0,0,10,5,5,66,4,5,42,6,53,22,0,31,0,0,12,
164580,Babson College,2,2,1,21,2,2,29,20,7,14,4,11,1,77248,77248,77248,77248,0,480,564,0,54944,2457,53,25,20,36,36,38,34,94,93,94,,,,,,,,,,,,,,,,,,,784,206,206,0,0,69,8,61,75,76,53,107,14,184,75,2,75,32,0,16,
164599,Bancroft School of Massage Therapy,9,3,2,12,6,1,-2,-2,-2,-2,-2,-2,-2,,,,,,,,0,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,
167792,Bard College at Simon's Rock,2,2,1,32,3,1,23,5,0,10,2,8,2,84151,84151,84151,84151,0,0,47,91,64951,343,95,80,80,80,64,68,62,70,65,72,,,,,,,,,,,,,,,,,,,164,53,53,0,0,14,7,7,9,6,7,8,7,60,38,0,9,9,4,6,
164632,Bay Path University,2,2,1,21,2,2,18,13,4,7,5,9,2,52280,52280,43481,43481,22,513,353,10,35781,1795,97,75,0,77,20,,20,51,,51,,,,,,,,,,,,,,,,,,,556,261,261,0,0,66,6,60,127,12,9,12,2,67,12,1,34,18,2,12,
164641,Bay State College,3,3,1,11,3,1,22,18,0,5,2,6,2,53342,53342,55441,55441,0,0,57,76,29500,325,100,50,55,45,67,77,55,17,7,25,,,,,,,,,,,,,,,,,,,74,35,35,0,0,16,0,16,11,0,0,5,4,3,2,0,1,0,0,10,
165884,Benjamin Franklin Cummings Institute of Technology,2,2,1,11,3,1,23,5,0,6,2,6,2,,,35928,35928,0,0,10,65,18228,460,97,,,,,,,42,43,25,,,,,,,,,,,,,,,,,,,74,38,38,0,0,16,1,15,6,6,1,1,0,6,3,0,3,0,0,9,
