"VariableName","Value","ValueLabel"
"Sector of institution (HD2022)","0","Administrative Unit"
"Sector of institution (HD2022)","1","Public, 4-year or above"
"Sector of institution (HD2022)","2","Private not-for-profit, 4-year or above"
"Sector of institution (HD2022)","3","Private for-profit, 4-year or above"
"Sector of institution (HD2022)","4","Public, 2-year"
"Sector of institution (HD2022)","5","Private not-for-profit, 2-year"
"Sector of institution (HD2022)","6","Private for-profit, 2-year"
"Sector of institution (HD2022)","7","Public, less-than 2-year"
"Sector of institution (HD2022)","9","Private for-profit, less-than 2-year"
"Control of institution (HD2022)","1","Public"
"Control of institution (HD2022)","2","Private not-for-profit"
"Control of institution (HD2022)","3","Private for-profit"
"Degree-granting status (HD2022)","1","Degree-granting"
"Degree-granting status (HD2022)","2","Nondegree-granting, primarily postsecondary"
"Degree of urbanization (Urban-centric locale) (HD2022)","11","City: Large"
"Degree of urbanization (Urban-centric locale) (HD2022)","12","City: Midsize"
"Degree of urbanization (Urban-centric locale) (HD2022)","13","City: Small"
"Degree of urbanization (Urban-centric locale) (HD2022)","21","Suburb: Large"
"Degree of urbanization (Urban-centric locale) (HD2022)","22","Suburb: Midsize"
"Degree of urbanization (Urban-centric locale) (HD2022)","31","Town: Fringe"
"Degree of urbanization (Urban-centric locale) (HD2022)","32","Town: Distant"
"Degree of urbanization (Urban-centric locale) (HD2022)","41","Rural: Fringe"
"Institutional category (HD2022)","1","Degree-granting, graduate with no undergraduate degrees"
"Institutional category (HD2022)","2","Degree-granting, primarily baccalaureate or above"
"Institutional category (HD2022)","3","Degree-granting, not primarily baccalaureate or above"
"Institutional category (HD2022)","4","Degree-granting, associate's and certificates"
"Institutional category (HD2022)","6","Nondegree-granting, sub-baccalaureate"
"Institutional category (HD2022)","-2","Not applicable"
"Carnegie Classification 2021: Undergraduate Instructional Program (HD2022)","1","Associate's Colleges: High Transfer"
"Carnegie Classification 2021: Undergraduate Instructional Program (HD2022)","2","Associate's Colleges: Mixed Transfer/Career & Technical"
"Carnegie Classification 2021: Undergraduate Instructional Program (HD2022)","3","Associate's Colleges: High Career & Technical"
"Carnegie Classification 2021: Undergraduate Instructional Program (HD2022)","4","Special Focus: Two-Year Institution"
"Carnegie Classification 2021: Undergraduate Instructional Program (HD2022)","5","Baccalaureate/Associates Colleges"
"Carnegie Classification 2021: Undergraduate Instructional Program (HD2022)","6","Arts & sciences focus, no graduate coexistence"
"Carnegie Classification 2021: Undergraduate Instructional Program (HD2022)","7","Arts & sciences focus, some graduate coexistence"
"Carnegie Classification 2021: Undergraduate Instructional Program (HD2022)","8","Arts & sciences focus, high graduate coexistence"
"Carnegie Classification 2021: Undergraduate Instructional Program (HD2022)","10","Arts & sciences plus professions, some graduate coexistence"
"Carnegie Classification 2021: Undergraduate Instructional Program (HD2022)","11","Arts & sciences plus professions, high graduate coexistence"
"Carnegie Classification 2021: Undergraduate Instructional Program (HD2022)","12","Balanced arts & sciences/professions, no graduate coexistence"
"Carnegie Classification 2021: Undergraduate Instructional Program (HD2022)","13","Balanced arts & sciences/professions, some graduate coexistence"
"Carnegie Classification 2021: Undergraduate Instructional Program (HD2022)","14","Balanced arts & sciences/professions, high graduate coexistence"
"Carnegie Classification 2021: Undergraduate Instructional Program (HD2022)","16","Professions plus arts & sciences, some graduate coexistence"
"Carnegie Classification 2021: Undergraduate Instructional Program (HD2022)","17","Professions plus arts & sciences, high graduate coexistence"
"Carnegie Classification 2021: Undergraduate Instructional Program (HD2022)","18","Professions focus, no graduate coexistence"
"Carnegie Classification 2021: Undergraduate Instructional Program (HD2022)","19","Professions focus, some graduate coexistence"
"Carnegie Classification 2021: Undergraduate Instructional Program (HD2022)","20","Professions focus, high graduate coexistence"
"Carnegie Classification 2021: Undergraduate Instructional Program (HD2022)","0","Not Classified (Exclusively Graduate Programs)"
"Carnegie Classification 2021: Undergraduate Instructional Program (HD2022)","-2","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)"
"Carnegie Classification 2021: Graduate Instructional Program (HD2022)","1","Postbaccalaureate: Single program-Education"
